internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName
132523146,Hubbsina turneri,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,GOODEIDAE,Hubbsina,turneri
1117,Ameca splendens,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,GOODEIDAE,Ameca,splendens
11200,Lamna nasus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Lamna,nasus
11242,Lampsilis rafinesqueana,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Lampsilis,rafinesqueana
11249,Lampsilis abrupta,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Lampsilis,abrupta
11250,Hamiota altilis,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Hamiota,altilis
11479,Lemiox rimosus,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Lemiox,rimosus
11785,Leptoxis taeniata,ANIMALIA,MOLLUSCA,SORBEOCONCHA,GASTROPODA,PLEUROCERIDAE,Leptoxis,taeniata
11797,Lepus castroviejoi,ANIMALIA,CHORDATA,LAGOMORPHA,MAMMALIA,LEPORIDAE,Lepus,castroviejoi
11922,Pleuronaia dolabelloides,ANIMALIA,MOLLUSCA,UNIONOIDA,BIVALVIA,UNIONIDAE,Pleuronaia,dolabelloides
12137,Lithognathus lithognathus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,Lithognathus,lithognathus
12417,Lutjanus cyanopterus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,LUTJANIDAE,Lutjanus,cyanopterus
12695,Malaclemys terrapin,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,EMYDIDAE,Malaclemys,terrapin
12696,Malacochersus tornieri,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,TESTUDINIDAE,Malacochersus,tornieri
