assessment_id,id_no,binomial,presence,origin,seasonal,compiler,year,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
497499,132523146,Hubbsina turneri,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,de Jong, ,2014,-101.4795,19.8745
497499,132523146,Hubbsina turneri,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Köck et al., ,2014,-101.7773,19.8256
497499,132523146,Hubbsina turneri,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Lyons, ,2015,-101.7876,19.8273
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Laguna Magdalena, , , ,Köck et al., ,2016,-104.0793,20.9014
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Domínguez-Domínguez, ,2017,-103.845,20.6801
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Domínguez-Domínguez, ,2017,-103.8433,20.681
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Domínguez-Domínguez, ,2017,-103.8431,20.6761
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Domínguez-Domínguez, ,2017,-103.8427,20.6758
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Domínguez-Domínguez, ,2017,-103.8415,20.6896
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Köck et al., ,2016,-103.8417,20.6897
500918,1117,Ameca splendens,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), ,Río Ameca, , , ,Soltz et al., ,1977,-103.844,20.6814
500918,1117,Ameca splendens,4,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Possibly Extinct, ,Laguna de Sayula, , , ,Domínguez-Domínguez, ,2005,-103.5148,19.955
500918,1117,Ameca splendens,4,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Possibly Extinct, ,Río Ameca, , , ,Peters & McIntosh, ,1949,-103.927,20.5626
1015199,163823,Brachygonia ophelia,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,, , ,,Dow et al 2012,PreservedSpecimen,2009,103.24127,3.28598
1015199,163823,Brachygonia ophelia,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,, , ,,"Dow, Ngiam & Ahmad 2015",PreservedSpecimen,2012,111.05844,1.61882
1015199,163823,Brachygonia ophelia,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,, , ,,Dow & Silvius 2014,PreservedSpecimen,2012,113.902,-1.664
1015199,163823,Brachygonia ophelia,1,1,1,R.A. Dow,2018,R.A. Dow,Extant (resident),,, , ,,Dow & Silvius 2014,PreservedSpecimen,2012,114.611,-2.213
1015199,163823,Brachygonia ophelia,4,1,1,R.A. Dow,2018,R.A. Dow,Possibly Extinct,,, , ,,Laidlaw 1920,PreservedSpecimen,1910,110.34138,1.52949
1015199,163823,Brachygonia ophelia,4,1,1,R.A. Dow,2018,R.A. Dow,Possibly Extinct,,, , ,,Lieftinck 1953,PreservedSpecimen,1953,112.9496,-2.5315
1015199,163823,Brachygonia ophelia,4,1,1,R.A. Dow,2018,R.A. Dow,Possibly Extinct,,, , ,,Orr 2001,PreservedSpecimen,1990,114.3,4.5833
1274356,169367,Vieja hartwegi,1,1,1,J.J. Schmitter-Soto,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Miller et al. 2005, ,,-93.033,16.738
1274356,169367,Vieja hartwegi,1,1,1,J.J. Schmitter-Soto,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Schmitter-Soto et al. 2006, ,,-93.538,16.33
1274356,169367,Vieja hartwegi,1,1,1,J.J. Schmitter-Soto,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Schmitter-Soto et al. 2006, ,,-92.9,16.601
1274356,169367,Vieja hartwegi,1,1,1,J.J. Schmitter-Soto,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Schmitter-Soto et al. 2006, ,,-92.817,16.55
1274356,169367,Vieja hartwegi,1,1,1,J.J. Schmitter-Soto,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Schmitter-Soto et al. 2006, ,,-92.3,16.008
1274356,169367,Vieja hartwegi,1,1,1,J.J. Schmitter-Soto,2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Schmitter-Soto et al. 2006, ,,-91.897,16.085
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5648,PRESERVED_SPECIMEN,2003,-93.97472,16.49389
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5649,PRESERVED_SPECIMEN,2003,-93.97475,16.49389
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5654,PRESERVED_SPECIMEN,2003,-93.90947,16.56417
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5656,PRESERVED_SPECIMEN,2003,-93.90942,16.56428
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5660,PRESERVED_SPECIMEN,2003,-93.56022,16.69372
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5695,PRESERVED_SPECIMEN,2003,-93.08406,16.61025
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5696,PRESERVED_SPECIMEN,2003,-93.08417,16.61028
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5698,PRESERVED_SPECIMEN,2003,-92.97711,16.49206
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5700,PRESERVED_SPECIMEN,2003,-92.97722,16.49222
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5704,PRESERVED_SPECIMEN,2003,-92.72025,15.88556
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5716,PRESERVED_SPECIMEN,2003,-92.28081,15.74375
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5717,PRESERVED_SPECIMEN,2003,-92.28081,15.74389
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5719,PRESERVED_SPECIMEN,2003,-92.28056,15.74389
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5788,PRESERVED_SPECIMEN,2003,-93.58106,17.23875
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5789,PRESERVED_SPECIMEN,2003,-93.57142,17.22511
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5790,PRESERVED_SPECIMEN,2003,-93.44106,17.17433
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5791,PRESERVED_SPECIMEN,2003,-93.44156,17.17506
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5792,PRESERVED_SPECIMEN,2003,-93.41639,17.16972
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5793,PRESERVED_SPECIMEN,2003,-93.31283,17.13711
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5828,PRESERVED_SPECIMEN,2004,-93.26889,16.21278
1274356,169367,Vieja hartwegi,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,ENCB-IPN-P5829,PRESERVED_SPECIMEN,2004,-93.07925,16.15878
1274613,169372,Allotoca diazi,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Domínguez-Domínguez, ,1998,-101.5651,19.5575
1274613,169372,Allotoca diazi,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Instituto Politécnico Nacional, ,1941,-101.5214,19.5205
1274613,169372,Allotoca diazi,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Köck et al., ,2017,-101.5215,19.573
1274613,169372,Allotoca diazi,4,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Possibly Extinct, , , , , ,Barbour & Douglass, ,1969,-101.7064,19.5861
1274613,169372,Allotoca diazi,4,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Possibly Extinct, , , , , ,Barbour & Douglass, ,1969,-101.5726,19.6367
1274613,169372,Allotoca diazi,4,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Possibly Extinct, , , , , ,Jiménez, ,1990,-101.6508,19.5717
1274613,169372,Allotoca diazi,4,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Possibly Extinct, , , , , ,Lyons, ,1991,-101.616,19.5623
1275786,169387,Chirostoma promelas,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1964,-103.21722,20.28972
1275786,169387,Chirostoma promelas,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1964,-103.18278,20.28639
1275786,169387,Chirostoma promelas,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1965,-103.21722,20.28972
1275786,169387,Chirostoma promelas,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1965,-103.1875,20.27917
1275786,169387,Chirostoma promelas,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1965,-103.18278,20.28639
1275786,169387,Chirostoma promelas,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1966,-103.21722,20.28972
1275786,169387,Chirostoma promelas,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1966,-103.18278,20.28639
1275786,169387,Chirostoma promelas,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1966,-102.72111,20.27028
1275786,169387,Chirostoma promelas,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1967,-103.18278,20.28639
1275786,169387,Chirostoma promelas,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1977,-103.1875,20.27917
1276157,169391,Chirostoma attenuatum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1956,-101.61917,19.54556
1276157,169391,Chirostoma attenuatum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1957,-101.6475,19.58556
1276157,169391,Chirostoma attenuatum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1957,-101.61917,19.54556
1276157,169391,Chirostoma attenuatum,1,1,1,"Eduardo Soto-Galera, E., Flor Delia Estrada-Navarrete, Lilián Alcántara-Soria (ENCB-IPN-P & CRIP-Pátzcuaro).",2018,IUCN (International Union for Conservation of Nature),Extant (resident), , , , , ,Eduardo Soto-Galera,PRESERVED_SPECIMEN,1998,-101.65389,19.54056
1276460,169395,Zoogoneticus tequila,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Köck, GWG",Extant (resident), , , , , ,Lambert, ,1990,-103.8436,20.6816
1494264,17762,Poblana alchichica,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1941,-97.4,19.34694
1494264,17762,Poblana alchichica,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1947,-97.37833,19.40722
1494264,17762,Poblana alchichica,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1963,-97.37833,19.40722
1494264,17762,Poblana alchichica,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1966,-97.37833,19.40722
1494264,17762,Poblana alchichica,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1978,-97.37833,19.40722
1494264,17762,Poblana alchichica,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1994,-97.4,19.34694
1494296,17763,Poblana ferdebueni,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1959,-98.02889,19.82889
1494296,17763,Poblana ferdebueni,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN Freshwater Biodiversity Unit,Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1972,-98.03361,19.82778
1494618,17765,Poblana squamata,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1947,-97.49111,19.33556
1494618,17765,Poblana squamata,1,1,1,"Soto-Galera, E. and L. Alcántara-Soria, ENCB-IPN-P",2018,IUCN (International Union for Conservation of Nature),Extant (resident),"","","","","","",PRESERVED_SPECIMEN,1994,-97.49111,19.33556
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00144,HumanObservation,1973,80.376158,6.689875
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00144,HumanObservation,1973,80.3991,6.6827
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00144,HumanObservation,1973,80.402028,6.704993
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00144,HumanObservation,1973,80.412313,6.671629
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00147,HumanObservation,2012,79.96264,6.879663
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00205,HumanObservation,2014,79.96616,7.097619
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00240,HumanObservation,2012,80.270797,6.901
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00240,HumanObservation,2012,80.273686,6.963749
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00240,HumanObservation,2012,80.283884,6.94209
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00275,HumanObservation,2015,79.89283,6.882517
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00275,HumanObservation,2015,79.89847,6.914867
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00275,HumanObservation,2015,79.91022,6.890867
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00275,HumanObservation,2015,79.91035,6.9056
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00275,HumanObservation,2015,79.911572,6.907148
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00275,HumanObservation,2015,79.91343,6.8793
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00275,HumanObservation,2015,79.91402,6.896917
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00275,HumanObservation,2015,79.9306,6.871667
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00275,HumanObservation,2015,79.93322,6.881433
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00275,HumanObservation,2015,79.94737,6.888633
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00275,HumanObservation,2015,79.94932,6.933383
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00275,HumanObservation,2015,79.9592,6.910433
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00282,HumanObservation,2019,80.276888,6.460367
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00282,HumanObservation,2019,80.290001,6.53838
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00282,HumanObservation,2019,80.426222,6.762472
1646550,180566,Aplocheilus dayi,1,1,1,Malka Fernando,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",CHE00284,HumanObservation,2019,80.20934,6.58235
1646550,180566,Aplocheilus dayi,1,1,1,Sampath de A Goonatilake,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",API0011,HumanObservation,1970,80.3991,6.6827
1646550,180566,Aplocheilus dayi,1,1,1,Sampath de A Goonatilake,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",API0011,HumanObservation,1970,80.4,6.6833
1646550,180566,Aplocheilus dayi,1,1,1,Sampath de A Goonatilake,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",API0036,HumanObservation,1991,79.8666,7.0333
1646550,180566,Aplocheilus dayi,1,1,1,Sampath de A Goonatilake,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",API0073,HumanObservation,1999,80.25,6.4666
1646550,180566,Aplocheilus dayi,1,1,1,Sampath de A Goonatilake,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",API0074,HumanObservation,2000,80.0333,7.1333
1646550,180566,Aplocheilus dayi,1,1,1,Sampath de A Goonatilake,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",API0075,HumanObservation,2002,80.3,6.65
1646550,180566,Aplocheilus dayi,1,1,1,Sampath de A Goonatilake,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",API0077,HumanObservation,2003,79.8833,6.8333
1646550,180566,Aplocheilus dayi,1,1,1,Sampath de A Goonatilake,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",API0080,HumanObservation,2003,79.9338,6.8727
1646550,180566,Aplocheilus dayi,1,1,1,Sampath de A Goonatilake,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",API0081,HumanObservation,1995,80.0144,6.7666
1646550,180566,Aplocheilus dayi,1,1,1,Sampath de A Goonatilake,2019,IUCN (International Union for Conservation of Nature),Extant (resident), , ,"",Sri Lanka,"",API0081,HumanObservation,1996,80.2825,6.5447
