assessmentId,internalTaxonId,scientificName,redlistCategory,yearPublished,assessmentDate,populationTrend,systems
497499,132523146,Hubbsina turneri,Critically Endangered,2019,2018-04-17 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
500918,1117,Ameca splendens,Critically Endangered,2019,2018-04-18 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
500969,11200,Lamna nasus,Vulnerable,2019,2018-11-06 00:00:00 UTC,Decreasing,Marine
501662,11242,Lampsilis rafinesqueana,Endangered,2012,2012-06-07 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
501876,11249,Lampsilis abrupta,Vulnerable,2012,2012-04-24 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
502085,11250,Hamiota altilis,Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
502943,11479,Lemiox rimosus,Critically Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
503764,11785,Leptoxis taeniata,Endangered,2012,2011-10-26 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
503908,11797,Lepus castroviejoi,Vulnerable,2019,2018-06-01 00:00:00 UTC,Decreasing,Terrestrial
504863,11922,Pleuronaia dolabelloides,Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
505458,12137,Lithognathus lithognathus,Endangered,2014,2009-12-04 00:00:00 UTC,Decreasing,Marine
506633,12417,Lutjanus cyanopterus,Vulnerable,2016,2015-10-10 00:00:00 UTC,Decreasing,Marine
507698,12695,Malaclemys terrapin,Vulnerable,2019,2018-06-03 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters)|Marine
508210,12696,Malacochersus tornieri,Critically Endangered,2019,2018-10-25 00:00:00 UTC,Decreasing,Terrestrial
509635,12800,Margaritifera marrianae,Endangered,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
509782,12803,Margaritifera hembeli,Critically Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
510370,12927,Medionidus parvulus,Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
510583,12930,Medionidus walkeri,Critically Endangered,2012,2012-03-05 00:00:00 UTC,Decreasing,Freshwater (=Inland waters)
510839,12958,Megalagrion oceanicum,Critically Endangered,2020,2019-01-17 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters)
510946,12959,Megalagrion pacificum,Endangered,2020,2019-01-18 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters)
512306,13145,Menidia conchorum,Endangered,2015,2014-01-07 00:00:00 UTC,Decreasing,Marine
517485,136055,Anodonthyla moramora,Endangered,2016,2015-11-26 00:00:00 UTC,Decreasing,Terrestrial
